Name,Siblings and Spouses,female,Cabin Class 2,Cabin Class 3,Cherbourg,Queenstown,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Cardeza, Mr. Thomas Drake Martinez",0,0,0,0,1,0,0,1,0,0,0,0,1,0.5674472310924672
"Asplund, Master. Edvin Rojj Felix",4,0,0,1,0,0,0,0,0,0,0,0,1,0.04934109534135817
"Abbing, Mr. Anthony",0,0,0,1,0,0,0,0,1,0,0,0,0,0.048536969738633834
"Coxon, Mr. Daniel",0,0,0,1,0,0,0,0,1,0,0,0,0,0.048536969738633834
"Goldsmith, Mr. Frank John",1,0,0,1,0,0,0,1,0,0,0,0,0,0.06619668865033243
"Sundman, Mr. Johan Julian",0,0,0,1,0,0,0,0,1,0,0,0,1,0.048536969738633834
"Oreskovic, Mr. Luka",0,0,0,1,0,0,0,0,0,0,0,0,0,0.1437713088179799
"Ford, Mrs. Edward (Margaret Ann Watson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.4895972821619605
"Hood, Mr. Ambrose Jr",0,0,1,0,0,0,1,0,0,0,0,0,0,0.23575960477111427
"Hassan, Mr. Houssein G N",0,0,0,1,1,0,0,0,0,0,0,0,0,0.18704282576776693
"Gale, Mr. Shadrach",1,0,1,0,0,0,0,1,0,0,0,0,0,0.18132288023875434
"Stranden, Mr. Juho",0,0,0,1,0,0,0,1,0,0,0,0,1,0.08681855079087356
"Petranec, Miss. Matilda",0,1,0,1,0,0,1,0,0,0,1,0,0,0.511639365518016
"Danoff, Mr. Yoto",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Cook, Mr. Jacob",0,0,0,1,0,0,0,0,1,0,0,0,0,0.048536969738633834
"Bonnell, Miss. Elizabeth",0,1,0,0,0,0,0,0,1,0,1,0,1,0.8449815192119536
"Goldenberg, Mr. Samuel L",1,0,0,0,1,0,0,0,1,0,0,0,1,0.344198765159583
"Mallet, Master. Andre",0,0,1,0,1,0,0,0,0,0,0,0,1,0.4182124238155578
"Petterson, Mr. Johan Emil",1,0,0,1,0,0,1,0,0,0,0,0,0,0.06857320328172421
"Van der hoef, Mr. Wyckoff",0,0,0,0,0,0,0,0,1,0,0,0,0,0.3393728805823772
"Becker, Master. Richard F",2,0,1,0,0,0,0,0,0,0,0,0,1,0.22580868968164694
"Widener, Mr. Harry Elkins",0,0,0,0,1,0,1,0,0,0,0,0,0,0.5767053709692119
"Sivic, Mr. Husein",0,0,0,1,0,0,0,0,1,0,0,0,0,0.048536969738633834
"Leader, Dr. Alice (Farnham)",0,1,0,0,0,0,0,0,1,0,0,1,1,0.8596062452570602
"McNamee, Mr. Neal",1,0,0,1,0,0,1,0,0,0,0,0,0,0.06857320328172421
"Balkic, Mr. Cerin",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Svensson, Mr. Olof",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Rice, Master. Arthur",4,0,0,1,0,1,0,0,0,0,0,0,0,0.04351155150142441
"Quick, Miss. Phyllis May",1,1,1,0,0,0,0,0,0,0,1,0,1,0.8058475272952564
"Charters, Mr. David",0,0,0,1,0,1,1,0,0,0,0,0,0,0.07964802778772664
"Hirvonen, Miss. Hildur E",0,1,0,1,0,0,0,0,0,0,1,0,1,0.6405027611755346
"Carter, Mr. William Ernest",1,0,0,0,0,0,0,1,0,0,0,0,1,0.41652613669630334
"Kirkland, Rev. Charles Leonard",0,0,1,0,0,1,0,0,1,0,0,1,0,0.14373290414622944
"Coleff, Mr. Satio",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Silvey, Mr. William Baird",1,0,0,0,0,0,0,0,1,0,0,0,0,0.2769560411072042
"Partner, Mr. Austen",0,0,0,0,0,0,0,0,1,0,0,0,0,0.3393728805823772
"White, Mr. Richard Frasar",0,0,0,0,0,0,1,0,0,0,0,0,0,0.49857257441182523
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.4895972821619605
"Beckwith, Mr. Richard Leonard",1,0,0,0,0,0,0,1,0,0,0,0,1,0.41652613669630334
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",1,1,1,0,0,0,0,1,0,1,0,0,1,0.8481505815744219
"Daly, Mr. Eugene Patrick",0,0,0,1,0,1,0,1,0,0,0,0,1,0.07691939371062198
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,1,0,0,0,0,0,1,0,1,0,0,1,0.9473762530656462
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,1,0,0,1,0,0,0,1,1,0,0,1,0.9297555785729423
"Dorking, Mr. Edward Arthur",0,0,0,1,0,0,0,0,0,0,0,0,1,0.1437713088179799
"Chronopoulos, Mr. Apostolos",1,0,0,1,1,0,1,0,0,0,0,0,0,0.09163416706093959
"Levy, Mr. Rene Jacques",0,0,1,0,1,0,0,1,0,0,0,0,0,0.2892731911832306
"Richards, Master. William Rowe",1,0,1,0,0,0,0,0,0,0,0,0,1,0.2811812471736813
"Hippach, Miss. Jean Gertrude",0,1,0,0,1,0,0,0,0,0,1,0,1,0.9609134021619192
"Kantor, Mr. Sinai",1,0,1,0,0,0,0,1,0,0,0,0,0,0.18132288023875434
"Heikkinen, Miss. Laina",0,1,0,1,0,0,1,0,0,0,1,0,1,0.511639365518016
"Dennis, Mr. Samuel",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Drazenoic, Mr. Jozef",0,0,0,1,1,0,0,1,0,0,0,0,0,0.11525611076143039
"Osen, Mr. Olaf Elon",0,0,0,1,0,0,0,0,0,0,0,0,0,0.1437713088179799
"Rice, Mrs. William (Margaret Norton)",0,1,0,1,0,1,0,0,1,1,0,0,0,0.5299789947785634
"White, Mr. Percival Wayland",0,0,0,0,0,0,0,0,1,0,0,0,0,0.3393728805823772
"Clarke, Mrs. Charles V (Ada Maria Winfield)",1,1,1,0,0,0,1,0,0,1,0,0,1,0.852957549184118
"LeRoy, Miss. Bertha",0,1,0,0,1,0,0,1,0,0,1,0,1,0.9329744525870912
"Lemberopolous, Mr. Peter L",0,0,0,1,1,0,0,1,0,0,0,0,0,0.11525611076143039
"Bazzani, Miss. Albina",0,1,0,0,1,0,0,1,0,0,1,0,1,0.9329744525870912
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",1,1,1,0,0,0,0,0,1,1,0,0,0,0.7498116584054447
"Andrews, Miss. Kornelia Theodosia",1,1,0,0,0,0,0,0,1,0,1,0,1,0.8025405776676738
"Montvila, Rev. Juozas",0,0,1,0,0,0,1,0,0,0,0,1,0,0.2704381022464325
"Endres, Miss. Caroline Louise",0,1,0,0,1,0,0,1,0,0,1,0,1,0.9329744525870912
"Newell, Mr. Arthur Webster",0,0,0,0,1,0,0,0,1,0,0,0,0,0.4131114936900743
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",1,1,0,1,0,0,0,0,1,1,0,0,0,0.4895972821619605
"Connors, Mr. Patrick",0,0,0,1,0,1,0,0,1,0,0,0,0,0.04279815449593921
"Moor, Master. Meier",0,0,0,1,0,0,0,0,0,0,0,0,1,0.1437713088179799
"McKane, Mr. Peter David",0,0,1,0,0,0,0,0,1,0,0,0,0,0.13747167033085786
"Hakkarainen, Mr. Pekka Pietari",1,0,0,1,0,0,1,0,0,0,0,0,0,0.06857320328172421
"Waelens, Mr. Achille",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Nakid, Mr. Sahid",1,0,0,1,1,0,0,0,0,0,0,0,1,0.1464322653619375
"Nicola-Yarred, Miss. Jamila",1,1,0,1,1,0,0,0,0,0,1,0,1,0.6454271691585802
"Andreasson, Mr. Paul Edvin",0,0,0,1,0,0,0,0,0,0,0,0,0,0.1437713088179799
"Mellors, Mr. William John",0,0,1,0,0,0,0,0,0,0,0,0,1,0.3440971462127546
"Lesurer, Mr. Gustave J",0,0,0,0,1,0,0,1,0,0,0,0,1,0.5674472310924672
"Goodwin, Master. William Frederick",5,0,0,1,0,0,0,0,0,0,0,0,0,0.037257987603593626
"Johnson, Mr. Malkolm Joackim",0,0,0,1,0,0,0,1,0,0,0,0,0,0.08681855079087356
"Chaffee, Mr. Herbert Fuller",1,0,0,0,0,0,0,0,1,0,0,0,0,0.2769560411072042
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",2,1,0,0,0,0,0,0,1,1,0,0,1,0.878087959056317
"Strandberg, Miss. Ida Sofia",0,1,0,1,0,0,1,0,0,0,1,0,0,0.511639365518016
"Albimona, Mr. Nassef Cassem",0,0,0,1,1,0,1,0,0,0,0,0,1,0.11916913002685307
"Karun, Miss. Manca",0,1,0,1,1,0,0,0,0,0,1,0,1,0.7094098781032452
"Hogeboom, Mrs. John C (Anna Andrews)",1,1,0,0,0,0,0,0,1,1,0,0,1,0.9061891948317722
"Carr, Miss. Helen ""Ellen""",0,1,0,1,0,1,0,0,0,0,1,0,1,0.6096170269144686
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,1,0,1,0,0,0,0,1,1,0,0,0,0.5626451405861104
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",1,1,1,0,0,0,0,0,1,1,0,0,1,0.7498116584054447
"Wilhelms, Mr. Charles",0,0,1,0,0,0,0,1,0,0,0,0,1,0.22901359822015874
"Moor, Mrs. (Beila)",0,1,0,1,0,0,1,0,0,1,0,0,1,0.7134674409189926
"Panula, Mr. Ernesti Arvid",4,0,0,1,0,0,0,0,0,0,0,0,0,0.04934109534135817
"Ayoub, Miss. Banoura",0,1,0,1,1,0,0,0,0,0,1,0,1,0.7094098781032452
"Hocking, Mrs. Elizabeth (Eliza Needs)",1,1,1,0,0,0,0,0,1,1,0,0,1,0.7498116584054447
"Walker, Mr. William Anderson",0,0,0,0,0,0,0,0,1,0,0,0,0,0.3393728805823772
"Palsson, Master. Gosta Leonard",3,0,0,1,0,0,0,0,0,0,0,0,0,0.06507797810387833
"Gaskell, Mr. Alfred",0,0,1,0,0,0,0,0,0,0,0,0,0,0.3440971462127546
"Gustafsson, Mr. Karl Gideon",0,0,0,1,0,0,0,0,0,0,0,0,0,0.1437713088179799
"Vande Walle, Mr. Nestor Cyriel",0,0,0,1,0,0,1,0,0,0,0,0,0,0.0898641604942734
"Hunt, Mr. George Henry",0,0,1,0,0,0,0,1,0,0,0,0,0,0.22901359822015874
"Goldsmith, Master. Frank John William ""Frankie""",0,0,0,1,0,0,0,0,0,0,0,0,1,0.1437713088179799
"Barbara, Mrs. (Catherine David)",0,1,0,1,1,0,0,0,1,1,0,0,0,0.6380422474244969
"Rugg, Miss. Emily",0,1,1,0,0,0,1,0,0,0,1,0,1,0.7659874077661943
"Futrelle, Mr. Jacques Heath",1,0,0,0,0,0,0,1,0,0,0,0,0,0.41652613669630334
"Doling, Miss. Elsie",0,1,1,0,0,0,0,0,0,0,1,0,1,0.8477125647175113
"Bing, Mr. Lee",0,0,0,1,0,0,0,1,0,0,0,0,1,0.08681855079087356
